top_category_name,top_category_link,sub_category_name,sub_category_link
Arts,/Arts/,Movies,/Arts/Movies/
Arts,/Arts/,Television,/Arts/Television/
Arts,/Arts/,Music,/Arts/Music/
Business,/Business/,Jobs,/Business/Employment/
Business,/Business/,Real Estate,/Business/Real_Estate/
Business,/Business/,Investing,/Business/Investing/
Computers,/Computers/,Internet,/Computers/Internet/
Computers,/Computers/,Software,/Computers/Software/
Computers,/Computers/,Hardware,/Computers/Hardware/
Games,/Games/,Video Games,/Games/Video_Games/
Games,/Games/,RPGs,/Games/Roleplaying/
Games,/Games/,Gambling,/Games/Gambling/
Health,/Health/,Fitness,/Health/Fitness/
Health,/Health/,Medicine,/Health/Medicine/
Health,/Health/,Alternative,/Health/Alternative/
Home,/Home/,Family,/Home/Family/
Home,/Home/,Consumers,/Home/Consumer_Information/
Home,/Home/,Cooking,/Home/Cooking/
News,/News/,Media,/News/Media/
News,/News/,Newspapers,/News/Newspapers/
News,/News/,Weather,/News/Weather/
Recreation,/Recreation/,Travel,/Recreation/Travel/
Recreation,/Recreation/,Food,/Recreation/Food/
Recreation,/Recreation/,Outdoors,/Recreation/Outdoors/
Recreation,/Recreation/,Humor,/Recreation/Humor/
Reference,/Reference/,Maps,/Reference/Maps/
Reference,/Reference/,Education,/Reference/Education/
Reference,/Reference/,Libraries,/Reference/Libraries/
Regional,/Regional/,US,/Regional/North_America/United_States/
Regional,/Regional/,Canada,/Regional/North_America/Canada/
Regional,/Regional/,UK,/Regional/Europe/United_Kingdom/
Regional,/Regional/,Europe,/Regional/Europe/
Science,/Science/,Biology,/Science/Biology/
Science,/Science/,Psychology,/Science/Social_Sciences/Psychology/
Science,/Science/,Physics,/Science/Physics/
Shopping,/Shopping/,Clothing,/Shopping/Clothing/
Shopping,/Shopping/,Food,/Shopping/Food/
Shopping,/Shopping/,Gifts,/Shopping/Gifts/
Society,/Society/,People,/Society/People/
Society,/Society/,Religion,/Society/Religion_and_Spirituality/
Society,/Society/,Issues,/Society/Issues/
Sports,/Sports/,Baseball,/Sports/Baseball/
Sports,/Sports/,Soccer,/Sports/Soccer/
Sports,/Sports/,Basketball,/Sports/Basketball/
"Kids , Teens Directory",/Kids_and_Teens/,Arts,/Kids_and_Teens/Arts/
"Kids , Teens Directory",/Kids_and_Teens/,School Time,/Kids_and_Teens/School_Time/
"Kids , Teens Directory",/Kids_and_Teens/,Teen Life,/Kids_and_Teens/Teen_Life/
"DMOZ , World",/World/,Deutsch,/World/Deutsch/
"DMOZ , World",/World/,Français,/World/Fran%C3%A7ais/
"DMOZ , World",/World/,日本語,/World/Japanese/
"DMOZ , World",/World/,Italiano,/World/Italiano/
"DMOZ , World",/World/,Español,/World/Espa%C3%B1ol/
"DMOZ , World",/World/,Русский,/World/Russian/
